id,name,parent_id/id
res_partner_category_ape_2053z,Fabrication d'huiles essentielles,res_partner_category_ape
res_partner_category_ape_2059z,Fabrication d'autres produits chimiques n.c.a.,res_partner_category_ape
res_partner_category_ape_2060z,Fabrication de fibres artificielles ou synthétiques,res_partner_category_ape
res_partner_category_ape_2110z,Fabrication de produits pharmaceutiques de base,res_partner_category_ape
res_partner_category_ape_2120z,Fabrication de préparations pharmaceutiques,res_partner_category_ape
res_partner_category_ape_2211z,Fabrication et rechapage de pneumatiques,res_partner_category_ape
res_partner_category_ape_2219z,Fabrication d'autres articles en caoutchouc,res_partner_category_ape
res_partner_category_ape_2221z,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques",res_partner_category_ape
res_partner_category_ape_2222z,Fabrication d'emballages en matières plastiques,res_partner_category_ape
res_partner_category_ape_2223z,Fabrication d'éléments en matières plastiques pour la construction,res_partner_category_ape
res_partner_category_ape_2229a,Fabrication de pièces techniques à base de matières plastiques,res_partner_category_ape
res_partner_category_ape_2229b,Fabrication de produits de consommation courante en matières plastiques,res_partner_category_ape
res_partner_category_ape_2311z,Fabrication de verre plat,res_partner_category_ape
res_partner_category_ape_2312z,Façonnage et transformation du verre plat,res_partner_category_ape
res_partner_category_ape_2313z,Fabrication de verre creux,res_partner_category_ape
res_partner_category_ape_2314z,Fabrication de fibres de verre,res_partner_category_ape
res_partner_category_ape_2319z,"Fabrication et façonnage d'autres articles en verre, y compris verre technique",res_partner_category_ape
res_partner_category_ape_2320z,Fabrication de produits réfractaires,res_partner_category_ape
res_partner_category_ape_2331z,Fabrication de carreaux en céramique,res_partner_category_ape
res_partner_category_ape_2332z,"Fabrication de briques, tuiles et produits de construction, en terre cuite",res_partner_category_ape
res_partner_category_ape_2341z,Fabrication d'articles céramiques à usage domestique ou ornemental,res_partner_category_ape
res_partner_category_ape_2342z,Fabrication d'appareils sanitaires en céramique,res_partner_category_ape
res_partner_category_ape_2343z,Fabrication d'isolateurs et pièces isolantes en céramique,res_partner_category_ape
res_partner_category_ape_2344z,Fabrication d'autres produits céramiques à usage technique,res_partner_category_ape
res_partner_category_ape_2349z,Fabrication d'autres produits céramiques,res_partner_category_ape
res_partner_category_ape_2351z,Fabrication de ciment,res_partner_category_ape
res_partner_category_ape_2352z,Fabrication de chaux et plâtre,res_partner_category_ape
res_partner_category_ape_2361z,Fabrication d'éléments en béton pour la construction,res_partner_category_ape
res_partner_category_ape_2362z,Fabrication d'éléments en plâtre pour la construction,res_partner_category_ape
res_partner_category_ape_2363z,Fabrication de béton prêt à l'emploi,res_partner_category_ape
res_partner_category_ape_2364z,Fabrication de mortiers et bétons secs,res_partner_category_ape
res_partner_category_ape_2365z,Fabrication d'ouvrages en fibre-ciment,res_partner_category_ape
res_partner_category_ape_2369z,"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre",res_partner_category_ape
res_partner_category_ape_2370z,"Taille, façonnage et finissage de pierres",res_partner_category_ape
res_partner_category_ape_2391z,Fabrication de produits abrasifs,res_partner_category_ape
res_partner_category_ape_2399z,Fabrication d'autres produits minéraux non métalliques n.c.a.,res_partner_category_ape
res_partner_category_ape_2410z,Sidérurgie,res_partner_category_ape
res_partner_category_ape_2420z,"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier",res_partner_category_ape
res_partner_category_ape_2431z,Étirage à froid de barres,res_partner_category_ape
res_partner_category_ape_2432z,Laminage à froid de feuillards,res_partner_category_ape
res_partner_category_ape_2433z,Profilage à froid par formage ou pliage,res_partner_category_ape
res_partner_category_ape_2434z,Tréfilage à froid,res_partner_category_ape
res_partner_category_ape_2441z,Production de métaux précieux,res_partner_category_ape
res_partner_category_ape_2442z,Métallurgie de l'aluminium,res_partner_category_ape
res_partner_category_ape_2443z,"Métallurgie du plomb, du zinc ou de l'étain",res_partner_category_ape
res_partner_category_ape_2444z,Métallurgie du cuivre,res_partner_category_ape
res_partner_category_ape_2445z,Métallurgie des autres métaux non ferreux,res_partner_category_ape
res_partner_category_ape_2446z,Élaboration et transformation de matières nucléaires,res_partner_category_ape
